dpe_classe,ges_classe,type_energie,consommation_kwh_m2,surface_m2,annee_construction,type_logement_immeuble,departement,code_postal,latitude,longitude,source_type
C,A,individuel,49,43.9,NA,appartement,69,69008,6516619.71,844363.05,Neuf
C,A,individuel,48,43.9,NA,appartement,69,69008,6516619.71,844363.05,Neuf
C,A,individuel,52.2,48.2,NA,appartement,69,69008,6516619.71,844363.05,Neuf
C,A,individuel,49.8,44,NA,appartement,69,69008,6516619.71,844363.05,Neuf
E,B,individuel,139,32.8,NA,appartement,69,69008,6515552.1,845703.02,Neuf
C,C,individuel,56.8,64.5,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,54.1,58.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,70,69.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,74.2,49.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,80.7,50.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,72.4,50.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,56.4,69.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,75.8,70.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,68,50.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,56.3,63.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,59.1,46.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,63.5,64.5,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,57,64,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,59.9,46.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,59.2,46.2,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,66.6,69.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,56.4,58.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,68.1,46.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,65.2,88.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,58.9,58.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,83.6,39.5,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,57.1,70.8,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,54.9,59.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,56.6,69.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,97,39.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,78.2,88.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,51.3,82.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,51.2,83,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,63.4,70,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,60.3,98.3,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,63.2,57.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,60.4,58.8,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,72.2,84,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,57.3,69.6,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,60,64.5,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,59.7,58.4,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,55.1,58.8,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,54.8,59,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,66.6,75.9,NA,appartement,69,69008,6515736.9,846745.99,Neuf
E,B,individuel,139,32.8,NA,appartement,69,69008,6515552.1,845703.02,Neuf
C,C,individuel,67.9,40.8,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,57,64.1,NA,appartement,69,69008,6515736.9,846745.99,Neuf
C,C,individuel,75.7,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,58.6,63,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,74.6,77.6,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,84.1,42.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,80.8,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,,73.4,2242.7,NA,immeuble,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,72.1,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,71.4,38.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,76.5,42.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,76.5,60.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,78.2,44.2,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,65,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,57.9,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,78.4,92.8,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,65.8,63,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,75.7,89.9,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,79,60.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,64.9,60.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,68.6,100.2,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,73.9,60.4,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,collectif,107,NA,NA,immeuble,69,69008,6516855.34,846157.48,Neuf
C,C,individuel,66.2,63,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,collectif,119,NA,NA,immeuble,69,69008,6516855.34,846157.48,Neuf
C,C,individuel,79.6,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,58.6,63,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,59.9,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,57.9,63.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,80.3,68.5,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,73.1,44.2,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,72.6,60.3,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,75.7,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,collectif,114,NA,NA,immeuble,69,69008,6516855.34,846157.48,Neuf
C,C,individuel,80.6,60.4,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,77,126.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,77.8,90.8,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,68.4,38.1,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,79.9,42.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,74.9,42,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,93.9,66.5,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,76.5,42.7,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,C,individuel,73.2,44,NA,appartement,69,69008,6516710.92,844533.36,Neuf
D,B,individuel,102.7,32,NA,appartement,69,69008,6516710.92,844533.36,Neuf
C,A,individuel,76,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,77.2,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,76,22.9,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,59,43.2,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,A,individuel,78.2,22.8,NA,appartement,69,69008,6516320.02,846385.09,Neuf
C,C,individuel,52.8,86.8,NA,appartement,69,69008,6516320.02,846385.09,Neuf
